City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Nyagan,RU,2021-10-03 23:04:05,62.1406,65.3936,27.3,84,10,3.83
60,Grants Pass,US,2021-10-03 23:08:48,42.439,-123.3284,84.36,35,1,3.44
61,New Norfolk,AU,2021-10-03 23:08:49,-42.7826,147.0587,60.66,76,67,3.91
62,Rikitea,PF,2021-10-03 23:08:37,-23.1203,-134.9692,73.63,64,83,16.62
63,Punta Arenas,CL,2021-10-03 23:08:49,-53.15,-70.9167,41.11,70,40,35.68
64,Turbana,CO,2021-10-03 23:08:49,10.2717,-75.4422,85.01,81,46,3.31
65,Dikson,RU,2021-10-03 23:04:49,73.5069,80.5464,34.48,98,100,23.04
66,Kodiak,US,2021-10-03 23:04:36,57.79,-152.4072,43.36,49,1,7.7
67,Husavik,IS,2021-10-03 23:08:50,66.0449,-17.3389,42.17,98,100,23.67
68,Saint-Philippe,RE,2021-10-03 23:04:51,-21.3585,55.7679,71.19,83,49,13.2
69,Port Blair,IN,2021-10-03 23:08:50,11.6667,92.75,79.27,84,39,7.2
70,Talnakh,RU,2021-10-03 23:04:45,69.4865,88.3972,18.19,97,98,1.05
71,Vila,PT,2021-10-03 23:06:17,42.0304,-8.1588,48.33,91,71,2.37
72,Pontes E Lacerda,BR,2021-10-03 23:08:51,-15.2261,-59.3353,82.58,56,71,1.41
73,Elat,IL,2021-10-03 23:06:34,29.5581,34.9482,76.84,57,0,13.8
74,Tocopilla,CL,2021-10-03 23:08:52,-22.092,-70.1979,62.83,72,22,10.51
75,Athabasca,CA,2021-10-03 23:08:52,54.7169,-113.2854,55.65,17,54,16.26
76,Severo-Kurilsk,RU,2021-10-03 23:08:52,50.6789,156.125,48.09,77,83,29.51
77,Hobart,AU,2021-10-03 23:06:29,-42.8794,147.3294,61.02,85,75,1.99
78,Faya,SA,2021-10-03 23:05:26,18.3851,42.4509,61.32,43,62,1.68
79,Tuatapere,NZ,2021-10-03 23:08:53,-46.1333,167.6833,49.82,87,100,3.98
80,Mataram,ID,2021-10-03 23:08:53,-8.5833,116.1167,76.01,79,47,8.5
81,Luena,AO,2021-10-03 23:04:17,-11.7833,19.9167,63.86,77,31,3.11
82,Udachnyy,RU,2021-10-03 23:08:54,66.4167,112.4,26.67,83,100,4.21
83,Thompson,CA,2021-10-03 23:08:54,55.7435,-97.8558,61.16,48,98,6.91
84,Toledo,ES,2021-10-03 23:08:55,39.8333,-4.0,59.07,50,34,8.43
85,Westport,US,2021-10-03 23:08:55,41.1415,-73.3579,72.25,85,1,3.0
86,Hermanus,ZA,2021-10-03 23:08:12,-34.4187,19.2345,51.91,73,54,9.55
87,Bluff,NZ,2021-10-03 23:04:07,-46.6,168.3333,49.8,81,100,24.67
88,Arcata,US,2021-10-03 23:07:17,40.8665,-124.0828,70.2,76,90,3.0
89,Yellowknife,CA,2021-10-03 23:06:49,62.456,-114.3525,52.41,55,2,10.0
90,Longyearbyen,SJ,2021-10-03 23:05:23,78.2186,15.6401,37.24,93,75,3.44
91,Cape Town,ZA,2021-10-03 23:08:56,-33.9258,18.4232,55.11,66,2,17.43
92,Mirnyy,RU,2021-10-03 23:08:56,62.5353,113.9611,32.38,90,94,4.74
93,Lavrentiya,RU,2021-10-03 23:08:57,65.5833,-171.0,28.47,67,13,2.26
94,Port Alfred,ZA,2021-10-03 23:05:15,-33.5906,26.891,54.88,78,24,8.3
95,Torbay,CA,2021-10-03 23:08:57,47.6666,-52.7314,54.68,95,90,2.3
96,Surovikino,RU,2021-10-03 23:08:57,48.6078,42.8486,41.2,56,99,9.33
97,Kaitangata,NZ,2021-10-03 23:04:38,-46.2817,169.8464,50.94,85,100,15.5
98,Nishihara,JP,2021-10-03 23:04:37,26.1842,127.7558,82.06,61,40,13.8
99,Port Lincoln,AU,2021-10-03 23:08:58,-34.7333,135.8667,55.36,62,40,29.44
100,Marrakesh,MA,2021-10-03 23:08:58,31.6315,-8.0083,69.87,60,0,5.75
101,Kyabe,TD,2021-10-03 23:08:59,9.4515,18.9449,73.2,82,36,2.86
102,Bay City,US,2021-10-03 23:08:59,43.5945,-83.8889,69.06,94,90,9.22
103,Charyshskoye,RU,2021-10-03 23:08:59,51.3978,83.5598,33.94,78,100,4.03
104,Shingu,JP,2021-10-03 23:09:00,33.7333,135.9833,76.19,78,52,4.16
105,Udimskiy,RU,2021-10-03 23:09:00,61.1417,45.9144,41.7,88,100,2.1
106,Koslan,RU,2021-10-03 23:08:34,63.4564,48.8989,41.07,92,100,4.05
107,Mehamn,NO,2021-10-03 23:04:50,71.0357,27.8492,49.28,73,100,31.79
108,Okakarara,NA,2021-10-03 23:09:01,-20.5833,17.4333,59.02,11,0,5.39
109,Ramanuj Ganj,IN,2021-10-03 23:09:01,23.8,83.7,73.26,89,75,3.6
110,Butaritari,KI,2021-10-03 23:09:01,3.0707,172.7902,82.42,68,86,18.48
111,Beyneu,KZ,2021-10-03 23:09:02,45.3167,55.2,50.97,37,86,8.12
112,Zhezkazgan,KZ,2021-10-03 23:05:17,47.8043,67.7144,41.23,85,97,9.37
113,Lompoc,US,2021-10-03 23:09:02,34.6391,-120.4579,93.34,58,1,10.36
114,Ulagan,RU,2021-10-03 23:05:03,50.6321,87.9563,24.46,65,100,2.86
115,Panaba,MX,2021-10-03 23:09:03,21.2833,-88.2667,83.97,64,76,12.24
116,Nanakuli,US,2021-10-03 23:09:03,21.3906,-158.1547,85.95,61,75,9.22
117,Mayo,US,2021-10-03 23:05:06,38.8876,-76.5119,79.86,87,1,1.01
118,Kutum,SD,2021-10-03 23:09:04,14.2,24.6667,77.83,27,78,9.75
119,Victoria,HK,2021-10-03 23:09:04,22.2855,114.1577,84.33,80,78,1.01
120,Gimli,CA,2021-10-03 23:09:04,50.6336,-96.9907,75.43,43,21,7.9
121,Cabo San Lucas,MX,2021-10-03 23:09:01,22.8909,-109.9124,88.52,65,20,6.91
122,Kentau,KZ,2021-10-03 23:06:44,43.5206,68.5094,44.56,40,0,6.98
123,Bahia Blanca,AR,2021-10-03 23:09:05,-38.7196,-62.2724,53.17,45,54,4.18
124,Katsuura,JP,2021-10-03 23:09:05,35.1333,140.3,78.19,73,4,9.4
125,Lorengau,PG,2021-10-03 23:09:06,-2.0226,147.2712,83.61,71,94,5.3
126,Ampanihy,MG,2021-10-03 23:09:06,-24.7,44.75,73.4,60,24,1.25
127,Nikolskoye,RU,2021-10-03 23:09:07,59.7035,30.7861,45.88,92,0,7.07
128,Jamestown,US,2021-10-03 23:05:47,42.097,-79.2353,68.02,97,90,3.0
129,Haines Junction,CA,2021-10-03 23:09:07,60.7522,-137.5108,35.96,89,100,3.49
130,Mahebourg,MU,2021-10-03 23:04:14,-20.4081,57.7,72.25,82,22,14.34
131,Asfi,MA,2021-10-03 23:09:08,32.2994,-9.2372,68.5,83,61,12.8
132,Kuruman,ZA,2021-10-03 23:09:08,-27.4524,23.4325,47.98,20,0,9.17
133,Abnub,EG,2021-10-03 23:09:09,27.2696,31.1511,73.08,51,0,16.62
134,Maceio,BR,2021-10-03 23:09:09,-9.6658,-35.7353,76.44,94,20,5.75
135,Qaqortoq,GL,2021-10-03 23:09:09,60.7167,-46.0333,41.5,78,0,8.39
136,Verkhnevilyuysk,RU,2021-10-03 23:09:10,63.4453,120.3167,27.41,82,97,4.05
137,Navahrudak,BY,2021-10-03 23:09:10,53.6,25.8333,45.64,67,77,11.56
138,Belmonte,BR,2021-10-03 23:09:10,-15.8631,-38.8828,77.5,81,6,13.44
139,Hambantota,LK,2021-10-03 23:05:28,6.1241,81.1185,79.07,83,95,12.93
140,Mocuba,MZ,2021-10-03 23:09:08,-16.8392,36.9856,79.68,51,47,6.22
141,Bemidji,US,2021-10-03 23:09:11,47.4736,-94.8803,68.65,56,1,3.44
142,Utica,US,2021-10-03 23:04:28,43.1009,-75.2327,62.83,97,100,1.01
143,Clyde River,CA,2021-10-03 23:09:12,70.4692,-68.5914,35.58,85,94,1.57
144,Moissala,TD,2021-10-03 23:09:12,8.3404,17.7663,71.73,88,29,3.33
145,Miles City,US,2021-10-03 23:09:12,46.4083,-105.8406,85.51,11,1,9.22
146,Zharkent,KZ,2021-10-03 23:09:13,44.1628,80.0,46.83,37,100,5.35
147,Biltine,TD,2021-10-03 23:09:13,14.5333,20.9167,86.16,37,74,2.77
148,Waddan,LY,2021-10-03 23:09:13,29.1614,16.139,76.19,38,6,7.81
149,Syasstroy,RU,2021-10-03 23:09:14,60.1367,32.5691,42.31,86,2,8.55
150,Pisco,PE,2021-10-03 23:09:14,-13.7,-76.2167,62.65,77,40,19.57
151,Mareeba,AU,2021-10-03 23:09:14,-17.0,145.4333,84.33,69,10,2.73
152,Coahuayana,MX,2021-10-03 23:09:15,18.7333,-103.6833,85.48,66,92,4.74
153,Vila Velha,BR,2021-10-03 23:08:45,-20.3297,-40.2925,78.75,78,40,16.11
154,Nago,JP,2021-10-03 23:09:15,26.5881,127.9761,82.83,63,0,16.84
155,Ponta Do Sol,PT,2021-10-03 23:05:00,32.6667,-17.1,76.01,78,100,6.17
156,Mus,TR,2021-10-03 23:09:16,39.0,41.75,50.99,75,0,5.39
157,Puerto Leguizamo,CO,2021-10-03 23:09:16,-0.1934,-74.7819,78.44,83,65,1.23
158,Guerrero Negro,MX,2021-10-03 23:08:06,27.9769,-114.0611,84.33,44,85,12.44
159,Pulandian,CN,2021-10-03 23:09:17,39.3953,121.9669,66.33,79,100,18.03
160,Atuona,PF,2021-10-03 23:09:17,-9.8,-139.0333,77.7,76,12,16.44
161,Fortuna,US,2021-10-03 23:06:13,40.5982,-124.1573,88.48,65,20,1.01
162,Inhambane,MZ,2021-10-03 23:09:17,-23.865,35.3833,72.09,92,100,9.69
163,Hasaki,JP,2021-10-03 23:04:38,35.7333,140.8333,72.0,75,0,10.38
164,Gornopravdinsk,RU,2021-10-03 23:09:18,60.05,69.9,28.94,92,97,6.17
165,Upernavik,GL,2021-10-03 23:09:18,72.7868,-56.1549,30.43,86,99,4.68
166,Mecca,SA,2021-10-03 23:05:22,21.4267,39.8261,85.23,46,28,3.65
167,Vestmannaeyjar,IS,2021-10-03 23:09:19,63.4427,-20.2734,46.65,78,81,12.66
168,Airai,TL,2021-10-03 23:05:10,-8.9266,125.4092,69.57,43,9,0.78
169,Mungwi,ZM,2021-10-03 23:09:19,-10.1732,31.3694,67.57,65,79,2.33
170,Innisfail,AU,2021-10-03 23:09:20,-17.5333,146.0333,88.88,61,6,3.67
171,Bonavista,CA,2021-10-03 23:09:20,48.6499,-53.1147,55.11,87,93,10.92
172,Araouane,ML,2021-10-03 23:09:20,18.9048,-3.5265,94.91,12,97,6.87
173,Chokurdakh,RU,2021-10-03 23:09:21,70.6333,147.9167,23.25,96,98,9.19
174,Kemijarvi,FI,2021-10-03 23:09:21,66.7131,27.4306,46.4,84,100,13.29
175,Xapuri,BR,2021-10-03 23:09:21,-10.6517,-68.5044,77.18,78,90,2.42
176,Axim,GH,2021-10-03 23:05:31,4.8699,-2.2405,77.45,90,97,7.0
177,Willowmore,ZA,2021-10-03 23:09:22,-33.2926,23.4895,42.26,77,1,3.2
178,Tuktoyaktuk,CA,2021-10-03 23:09:22,69.4541,-133.0374,33.48,87,100,21.45
179,Kitui,KE,2021-10-03 23:09:23,-1.367,38.0106,62.69,89,100,4.85
180,Matara,LK,2021-10-03 23:09:23,5.9485,80.5353,77.09,89,90,6.89
181,Rawson,AR,2021-10-03 23:04:31,-43.3002,-65.1023,60.33,31,54,9.06
182,Barrow,US,2021-10-03 23:09:23,71.2906,-156.7887,30.22,80,90,9.22
183,Puerto Padre,CU,2021-10-03 23:09:24,21.195,-76.6028,81.61,83,24,11.01
184,Muli,MV,2021-10-03 23:09:24,2.9167,73.5667,82.87,76,11,18.03
185,Bairiki,KI,2021-10-03 23:09:24,1.3292,172.9752,86.0,66,20,14.97
186,Znamenskoye,RU,2021-10-03 23:09:25,57.1281,73.8282,29.32,95,87,6.24
187,Mount Dora,US,2021-10-03 23:09:25,28.8025,-81.6445,82.81,70,20,9.22
188,Makariv,UA,2021-10-03 23:09:25,50.4641,29.8113,47.17,63,92,7.05
189,Syracuse,IT,2021-10-03 23:09:26,37.0881,15.2792,67.89,67,4,2.33
190,Roald,NO,2021-10-03 23:09:26,62.5833,6.1333,59.14,38,20,16.11
191,Kushima,JP,2021-10-03 23:09:26,31.4583,131.2333,75.88,61,0,7.61
192,Yumen,CN,2021-10-03 23:06:18,40.2833,97.2,40.05,45,89,9.04
193,Acapulco,MX,2021-10-03 23:09:27,16.8634,-99.8901,87.62,70,20,4.61
194,Moron,AR,2021-10-03 23:05:13,-34.6534,-58.6198,58.75,42,31,1.01
195,Deputatskiy,RU,2021-10-03 23:09:27,69.3,139.9,15.06,90,83,6.08
196,Luderitz,NA,2021-10-03 23:09:28,-26.6481,15.1594,57.11,58,80,19.77
197,Esperance,AU,2021-10-03 23:09:28,-33.8667,121.9,52.09,65,36,12.44
198,Tiksi,RU,2021-10-03 23:09:28,71.6872,128.8694,24.75,87,98,15.03
199,Mbandaka,CD,2021-10-03 23:09:29,0.0487,18.2603,71.35,99,100,4.68
200,Aloleng,PH,2021-10-03 23:09:29,16.1307,119.7824,80.62,78,92,7.78
201,Bethel,US,2021-10-03 23:06:31,41.3712,-73.414,70.72,83,90,0.0
202,Pangnirtung,CA,2021-10-03 23:09:29,66.1451,-65.7125,37.08,72,77,1.25
203,Bundi,IN,2021-10-03 23:07:10,25.4417,75.6417,79.03,78,38,5.55
204,Buckeye,US,2021-10-03 23:09:30,33.3703,-112.5838,98.6,19,75,5.75
205,Ahipara,NZ,2021-10-03 23:09:30,-35.1667,173.1667,63.09,92,81,8.5
206,Antofagasta,CL,2021-10-03 23:06:46,-23.65,-70.4,58.28,79,23,8.63
207,Hastings,GB,2021-10-03 23:09:31,50.8552,0.5729,59.52,92,1,18.79
208,Solano,US,2021-10-03 23:09:31,38.2333,-121.9511,95.14,25,1,5.75
209,Grindavik,IS,2021-10-03 23:05:12,63.8424,-22.4338,45.07,87,0,21.85
210,Tasiilaq,GL,2021-10-03 23:09:32,65.6145,-37.6368,32.16,56,0,5.3
211,Murska Sobota,SI,2021-10-03 23:09:32,46.6625,16.1664,63.01,76,3,12.35
212,Nantucket,US,2021-10-03 23:06:38,41.2835,-70.0995,66.34,91,94,6.85
213,Pershotravneve,UA,2021-10-03 23:09:32,51.3929,28.8684,45.01,66,96,5.97
214,Sarakhs,IR,2021-10-03 23:09:33,36.5449,61.1577,50.81,21,0,2.8
215,Tahta,EG,2021-10-03 23:09:33,26.7693,31.5021,74.12,44,0,13.09
216,Ballarat,AU,2021-10-03 23:09:33,-37.5662,143.8496,53.98,91,57,10.89
217,Leningradskiy,RU,2021-10-03 23:09:34,69.3833,178.4167,20.39,82,57,3.94
218,Mashhad,IR,2021-10-03 23:09:34,36.297,59.6062,48.34,49,0,6.91
219,Peleduy,RU,2021-10-03 23:05:33,59.6289,112.7406,28.22,100,99,3.04
220,Sandnessjoen,NO,2021-10-03 23:09:34,66.0217,12.6316,58.98,79,100,23.53
221,Plastun,RU,2021-10-03 23:09:35,44.7561,136.2939,58.37,87,100,3.91
222,Popondetta,PG,2021-10-03 23:09:35,-8.7537,148.2534,83.89,72,99,0.81
223,Krasnoselkup,RU,2021-10-03 23:09:36,65.7,82.4667,20.25,88,41,8.97
224,Cherskiy,RU,2021-10-03 23:09:36,68.75,161.3,20.17,96,93,3.02
225,Sorland,NO,2021-10-03 23:09:36,67.667,12.6934,51.4,86,100,20.78
226,Tanete,ID,2021-10-03 23:09:37,-3.9443,119.7848,74.77,90,98,3.98
227,San Luis,AR,2021-10-03 23:09:37,-33.295,-66.3356,56.44,23,1,9.84
228,Sioux Lookout,CA,2021-10-03 23:09:37,50.1001,-91.917,60.08,64,88,1.57
229,Lethem,GY,2021-10-03 23:09:38,3.3803,-59.7968,79.99,74,94,6.22
230,Vejprty,CZ,2021-10-03 23:09:38,50.4923,13.0321,56.71,85,99,0.58
231,Magdalena,PH,2021-10-03 23:09:38,14.1999,121.429,79.25,95,100,5.06
232,Adwa,ET,2021-10-03 23:09:39,14.1646,38.8955,63.03,68,100,1.5
233,Luganville,VU,2021-10-03 23:09:39,-15.5333,167.1667,82.47,75,12,7.27
234,Gondanglegi,ID,2021-10-03 23:09:40,-7.7479,112.0132,75.34,81,84,12.55
235,Port-Gentil,GA,2021-10-03 23:09:40,-0.7193,8.7815,77.61,85,100,13.35
236,Seddon,AU,2021-10-03 23:09:40,-37.8068,144.8916,61.65,69,75,5.99
237,Bonga,ET,2021-10-03 23:09:41,7.2833,36.2333,59.92,100,97,0.31
238,Panjab,AF,2021-10-03 23:09:41,34.388,67.0233,39.25,65,0,5.59
