City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Deputatskiy,RU,69.3,139.9,18.97,91,100,6.29,overcast clouds
80,Itupiranga,BR,-5.1347,-49.3267,95.32,47,50,3.33,scattered clouds
81,Nome,US,64.5011,-165.4064,41.07,93,90,12.66,light rain
82,Butaritari,KI,3.0707,172.7902,81.91,68,45,15.23,scattered clouds
83,Severo-Kurilsk,RU,50.6789,156.125,42.39,75,25,11.43,scattered clouds
84,Hithadhoo,MV,-0.6,73.0833,83.97,74,76,12.97,broken clouds
85,Borogontsy,RU,62.6683,131.1683,31.39,85,92,5.39,overcast clouds
86,Angouleme,FR,45.65,0.15,63.55,60,0,4.61,clear sky
87,Barrow,US,71.2906,-156.7887,28.42,93,90,10.36,light snow
88,Waddan,LY,29.1614,16.139,80.53,22,0,8.57,clear sky
89,Loviisa,FI,60.4566,26.2251,55.45,65,86,16.46,overcast clouds
90,Camana,PE,-16.6228,-72.7111,68.38,68,99,8.99,overcast clouds
91,Kyren,RU,51.6828,102.1408,32.38,81,25,1.79,scattered clouds
92,Matara,LK,5.9485,80.5353,78.26,90,62,7.67,broken clouds
93,Healdsburg,US,38.6105,-122.8692,65.59,86,75,0.0,broken clouds
94,Maniwaki,CA,46.3834,-75.966,66.58,59,22,2.3,few clouds
95,Puerto Escondido,MX,15.85,-97.0667,88.63,58,20,8.05,few clouds
96,Saskylakh,RU,71.9167,114.0833,25.27,97,100,10.42,light snow
97,Emerald,AU,-23.5333,148.1667,64.98,54,1,9.17,clear sky
98,Caravelas,BR,-17.7125,-39.2481,82.4,61,38,8.1,scattered clouds
99,Palmer,US,42.1584,-72.3287,72.5,59,40,3.44,scattered clouds
100,Manacapuru,BR,-3.2997,-60.6206,93.78,41,100,4.05,overcast clouds
101,Kasimov,RU,54.9411,41.3953,41.25,69,89,4.03,overcast clouds
102,Antalaha,MG,-14.9003,50.2788,70.57,78,100,5.77,overcast clouds
103,Hanmer Springs,NZ,-42.5167,172.8167,51.13,94,97,4.76,moderate rain
104,Kampot,KH,10.6167,104.1833,75.25,90,100,5.73,light rain
105,Upernavik,GL,72.7868,-56.1549,33.31,53,100,3.89,overcast clouds
106,Astoria,US,46.1879,-123.8313,57.92,86,75,3.0,broken clouds
107,Hasaki,JP,35.7333,140.8333,68.4,73,100,12.03,overcast clouds
108,Ancud,CL,-41.8697,-73.8203,56.73,48,0,4.94,clear sky
109,Narsaq,GL,60.9167,-46.05,48.42,48,100,3.96,overcast clouds
110,Biak,ID,-0.9131,122.8766,74.97,81,37,4.12,scattered clouds
111,Hashtrud,IR,37.4779,47.0508,48.31,63,25,8.34,scattered clouds
112,Georgetown,MY,5.4112,100.3354,76.95,92,40,4.61,scattered clouds
113,Luau,AO,-10.7073,22.2247,68.56,92,97,7.16,heavy intensity rain
114,Ambunti,PG,-4.2365,142.8448,72.61,99,100,1.39,overcast clouds
115,Askarovo,RU,53.3372,58.5089,32.95,80,35,4.47,scattered clouds
116,Ponta Do Sol,PT,32.6667,-17.1,77.72,71,99,4.16,overcast clouds
117,Naberera,TZ,-4.2,36.9333,73.6,31,90,14.85,overcast clouds
118,Luderitz,NA,-26.6481,15.1594,62.2,63,0,3.47,clear sky
119,Chuy,UY,-33.6971,-53.4616,63.14,70,7,18.07,clear sky
120,Provideniya,RU,64.3833,-173.3,37.13,97,100,11.05,light rain
121,Sucua,EC,-2.4667,-78.1667,73.49,93,69,2.82,moderate rain
122,Progreso Industrial,MX,19.6286,-99.3561,62.35,74,99,3.89,overcast clouds
123,Okha,RU,53.5739,142.9478,39.51,74,97,7.27,overcast clouds
124,Yar-Sale,RU,66.8333,70.8333,43.34,82,57,22.19,broken clouds
125,Glens Falls,US,43.3095,-73.644,71.89,83,90,1.99,overcast clouds
